"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
26,1651570811484,"03/05/2022 09:40:11",6396364,4,24,"Strongly Disagree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",4,"Remain","More security with EU support","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",1,412,66,"Against","PRO",1,0,1,0,0,0,0
27,1651570812612,"03/05/2022 09:40:12",6396364,4,25,"Disagree","statements",66,"Never","Once or twice a year",50,"Male","Undergraduate degree (BSc, BA)",5,"Remain","Convenient for travel","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,395,66,"Against","PRO",1,0,1,0,0,0,0
33,1651570819887,"03/05/2022 09:40:19",6396364,4,31,"Strongly Disagree","statements",70,"Rarely","Rarely",30,"Female","A levels",4,"Remain","have stronger allis with the EU","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",1,418,66,"Against","PRO",1,0,1,0,0,0,0
36,1651570834296,"03/05/2022 09:40:34",6396364,4,34,"Somewhat Disagree","statements",61,"Never","Never",68,"Female","No formal qualifications",6,"Remain","thinking about the cost of everything , it might make it harder to for us to buy things","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",3,366,66,"Against","PRO",1,0,1,0,0,0,0
41,1651570886810,"03/05/2022 09:41:26",6396364,4,39,"Neither Agree nor Disagree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",6,"Remain","Guarantees on trade with the EU","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",4,414,66,"Against","PRO",1,0,1,0,0,0,0
42,1651570892771,"03/05/2022 09:41:32",6396364,4,40,"Disagree","statements",68,"Rarely","Once or twice a year",54,"Female","Vocational Training / Apprenticeship",6,"Remain","We need people from EU to work here","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,408,66,"Against","PRO",1,0,1,0,0,0,0
44,1651570894719,"03/05/2022 09:41:34",6396364,4,42,"Neither Agree nor Disagree","statements",64,"Never","Never",48,"Female","A levels",6,"Remain","A sense of unity and partnership with all the European countries involved. The EU would eliminate conflicts between countries as there has been in the past","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Anti",4,384,66,"Against","PRO",1,0,1,0,0,0,0
45,1651570896485,"03/05/2022 09:41:36",6396364,4,43,"Strongly Disagree","statements",63,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",6,"Remain","Much harder to trade with Europe outside","Agree",NA,"Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",1,378,66,"Against","PRO",1,0,1,0,0,0,0
47,1651570900574,"03/05/2022 09:41:40",6396364,4,45,"Disagree","statements",67,"Rarely","A few times a year",33,"Female","GCSEs",4,"Remain","I think the system is working as it is ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,400,66,"Against","PRO",1,0,1,0,0,0,0
49,1651570907043,"03/05/2022 09:41:47",6396364,4,47,"Strongly Disagree","statements",62,"Rarely","Most days",54,"Male","GCSEs",6,"Remain","The EU would have helped the farmers a lot better ","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",1,372,66,"Against","PRO",1,0,1,0,0,0,0
50,1651570915322,"03/05/2022 09:41:55",6396364,4,48,"Neither Agree nor Disagree","statements",65,"A few times a year","A few times a year",59,"Female","Undergraduate degree (BSc, BA)",6,"Remain","Free movement in European countries & we can be an ally for any safety.","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Anti",4,390,66,"Against","PRO",1,0,1,0,0,0,0
56,1651570924803,"03/05/2022 09:42:04",6396364,4,54,"Strongly Disagree","statements",70,"Rarely","Rarely",30,"Female","A levels",5,"Remain","easier trade agreements with EU","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",1,419,66,"Against","PRO",1,0,1,0,0,0,0
60,1651570944079,"03/05/2022 09:42:24",6396364,4,58,"Neither Agree nor Disagree","statements",62,"Rarely","Most days",54,"Male","GCSEs",4,"Remain","We are far better of in the EU because of our human rights","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",4,370,66,"Against","PRO",1,0,1,0,0,0,0
61,1651570946056,"03/05/2022 09:42:26",6396364,4,59,"Neither Agree nor Disagree","statements",68,"Rarely","Once or twice a year",54,"Female","Vocational Training / Apprenticeship",4,"Remain","It is better to be in a group rather than independent ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",4,406,66,"Against","PRO",1,0,1,0,0,0,0
63,1651570951683,"03/05/2022 09:42:31",6396364,4,61,"Somewhat Disagree","statements",63,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",5,"Remain","Fear of the economic consequences of leaving","Agree",NA,"Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",3,377,66,"Against","PRO",1,0,1,0,0,0,0
64,1651570956038,"03/05/2022 09:42:36",6396364,4,62,"Strongly Disagree","statements",62,"Rarely","Most days",54,"Male","GCSEs",5,"Remain","EU would not let UK government put up the gas prices by 53 percent ","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",1,371,66,"Against","PRO",1,0,1,0,0,0,0
3,1651570819528,"03/05/2022 09:40:19",6396390,4,1,"Somewhat Agree","statements",62,"Rarely","Most days",54,"Male","GCSEs",6,"Remain","The EU would have helped the farmers a lot better ","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,372,67,"Against","PRO",1,0,1,0,0,0,1
5,1651570825000,"03/05/2022 09:40:25",6396390,4,3,"Somewhat Agree","statements",68,"Rarely","Once or twice a year",54,"Female","Vocational Training / Apprenticeship",4,"Remain","It is better to be in a group rather than independent ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,406,67,"Against","PRO",1,0,1,0,0,0,1
8,1651570835269,"03/05/2022 09:40:35",6396390,4,6,"Agree","statements",62,"Rarely","Most days",54,"Male","GCSEs",4,"Remain","We are far better of in the EU because of our human rights","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,370,67,"Against","PRO",1,0,1,0,0,1,1
10,1651570839023,"03/05/2022 09:40:39",6396390,4,8,"Agree","statements",64,"Never","Never",48,"Female","A levels",4,"Remain","More peaceful relationship with other European countries","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Anti",6,382,67,"Against","PRO",1,0,1,0,0,1,1
12,1651570863130,"03/05/2022 09:41:03",6396390,4,10,"Agree","statements",70,"Rarely","Rarely",30,"Female","A levels",5,"Remain","easier trade agreements with EU","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,419,67,"Against","PRO",1,0,1,0,0,1,1
13,1651570870117,"03/05/2022 09:41:10",6396390,4,11,"Somewhat Agree","statements",61,"Never","Never",68,"Female","No formal qualifications",5,"Remain","very worried about the cost of trade and weather it would make more sence to stay how we are","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,365,67,"Against","PRO",1,0,1,0,0,0,1
14,1651570874366,"03/05/2022 09:41:14",6396390,4,12,"Strongly Agree","statements",67,"Rarely","A few times a year",33,"Female","GCSEs",6,"Remain","The EU gives money back in some ways ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,402,67,"Against","PRO",1,0,1,0,0,1,1
15,1651570875448,"03/05/2022 09:41:15",6396390,4,13,"Agree","statements",63,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",4,"Remain","cheap holidays all over europe","Agree",NA,"Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",6,376,67,"Against","PRO",1,0,1,0,0,1,1
16,1651570878791,"03/05/2022 09:41:18",6396390,4,14,"Agree","statements",68,"Rarely","Once or twice a year",54,"Female","Vocational Training / Apprenticeship",5,"Remain","We can freely trade which saves so much money/paperwork ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,407,67,"Against","PRO",1,0,1,0,0,1,1
17,1651570881162,"03/05/2022 09:41:21",6396390,4,15,"Strongly Agree","statements",70,"Rarely","Rarely",30,"Female","A levels",6,"Remain","Freedom of movement and easier travel to EU contries","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,420,67,"Against","PRO",1,0,1,0,0,1,1
20,1651570899792,"03/05/2022 09:41:39",6396390,4,18,"Agree","statements",70,"Rarely","Rarely",30,"Female","A levels",4,"Remain","have stronger allis with the EU","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,418,67,"Against","PRO",1,0,1,0,0,1,1
22,1651570904280,"03/05/2022 09:41:44",6396390,4,20,"Strongly Agree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",5,"Remain","The freedom of movement","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",7,413,67,"Against","PRO",1,0,1,0,0,1,1
25,1651570911818,"03/05/2022 09:41:51",6396390,4,23,"Agree","statements",66,"Never","Once or twice a year",50,"Male","Undergraduate degree (BSc, BA)",6,"Remain","Stable economic trade deal","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,396,67,"Against","PRO",1,0,1,0,0,1,1
28,1651570921319,"03/05/2022 09:42:01",6396390,4,26,"Agree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",6,"Remain","Guarantees on trade with the EU","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",6,414,67,"Against","PRO",1,0,1,0,0,1,1
30,1651570933062,"03/05/2022 09:42:13",6396390,4,28,"Somewhat Agree","statements",67,"Rarely","A few times a year",33,"Female","GCSEs",4,"Remain","I think the system is working as it is ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,400,67,"Against","PRO",1,0,1,0,0,0,1
33,1651570949052,"03/05/2022 09:42:29",6396390,4,31,"Somewhat Agree","statements",64,"Never","Never",48,"Female","A levels",5,"Remain","Freedom for people to live and move anywhere in Europe ","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Anti",5,383,67,"Against","PRO",1,0,1,0,0,0,1
35,1651570958781,"03/05/2022 09:42:38",6396390,4,33,"Neither Agree nor Disagree","statements",62,"Rarely","Most days",54,"Male","GCSEs",5,"Remain","EU would not let UK government put up the gas prices by 53 percent ","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",4,371,67,"Against","PRO",1,0,1,0,0,0,0
36,1651570981058,"03/05/2022 09:43:01",6396390,4,34,"Somewhat Agree","statements",63,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",6,"Remain","Much harder to trade with Europe outside","Agree",NA,"Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",5,378,67,"Against","PRO",1,0,1,0,0,0,1
37,1651570984130,"03/05/2022 09:43:04",6396390,4,35,"Agree","statements",61,"Never","Never",68,"Female","No formal qualifications",6,"Remain","thinking about the cost of everything , it might make it harder to for us to buy things","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,366,67,"Against","PRO",1,0,1,0,0,1,1
40,1651570996385,"03/05/2022 09:43:16",6396390,4,38,"Somewhat Agree","statements",66,"Never","Once or twice a year",50,"Male","Undergraduate degree (BSc, BA)",4,"Remain","UK is part of Europe","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,394,67,"Against","PRO",1,0,1,0,0,0,1
42,1651571003810,"03/05/2022 09:43:23",6396390,4,40,"Somewhat Agree","statements",66,"Never","Once or twice a year",50,"Male","Undergraduate degree (BSc, BA)",5,"Remain","Convenient for travel","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,395,67,"Against","PRO",1,0,1,0,0,0,1
48,1651571028257,"03/05/2022 09:43:48",6396390,4,46,"Somewhat Agree","statements",65,"A few times a year","A few times a year",59,"Female","Undergraduate degree (BSc, BA)",6,"Remain","Free movement in European countries & we can be an ally for any safety.","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Anti",5,390,67,"Against","PRO",1,0,1,0,0,0,1
52,1651571581238,"03/05/2022 09:53:01",6396390,4,50,"Somewhat Agree","statements",64,"Never","Never",48,"Female","A levels",6,"Remain","A sense of unity and partnership with all the European countries involved. The EU would eliminate conflicts between countries as there has been in the past","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Anti",5,384,67,"Against","PRO",1,0,1,0,0,0,1
53,1651571581374,"03/05/2022 09:53:01",6396390,4,51,"Agree","statements",65,"A few times a year","A few times a year",59,"Female","Undergraduate degree (BSc, BA)",5,"Remain","Jobs open to European countries to fill up vacancies here.","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Anti",6,389,67,"Against","PRO",1,0,1,0,0,1,1
54,1651571582707,"03/05/2022 09:53:02",6396390,4,52,"Strongly Agree","statements",68,"Rarely","Once or twice a year",54,"Female","Vocational Training / Apprenticeship",6,"Remain","We need people from EU to work here","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,408,67,"Against","PRO",1,0,1,0,0,1,1
56,1651571597895,"03/05/2022 09:53:17",6396390,4,54,"Agree","statements",65,"A few times a year","A few times a year",59,"Female","Undergraduate degree (BSc, BA)",4,"Remain","Business. Protecting flow of business between European countries.","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Anti",6,388,67,"Against","PRO",1,0,1,0,0,1,1
58,1651571619666,"03/05/2022 09:53:39",6396390,4,56,"Strongly Agree","statements",63,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",5,"Remain","Fear of the economic consequences of leaving","Agree",NA,"Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",7,377,67,"Against","PRO",1,0,1,0,0,1,1
59,1651571664249,"03/05/2022 09:54:24",6396390,4,57,"Agree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",4,"Remain","More security with EU support","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",6,412,67,"Against","PRO",1,0,1,0,0,1,1
61,1651571670890,"03/05/2022 09:54:30",6396390,4,59,"Somewhat Agree","statements",61,"Never","Never",68,"Female","No formal qualifications",4,"Remain","I am scared of change and just want to stay how we are ","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,364,67,"Against","PRO",1,0,1,0,0,0,1
63,1651571679664,"03/05/2022 09:54:39",6396390,4,61,"Agree","statements",67,"Rarely","A few times a year",33,"Female","GCSEs",5,"Remain","The EU provides a lot of jobs ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,401,67,"Against","PRO",1,0,1,0,0,1,1
3,1651571058428,"03/05/2022 09:44:18",6396417,4,1,"Neither Agree nor Disagree","statements",68,"Rarely","Once or twice a year",54,"Female","Vocational Training / Apprenticeship",5,"Remain","We can freely trade which saves so much money/paperwork ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",4,407,68,"Against","PRO",1,0,1,0,0,0,0
4,1651571062460,"03/05/2022 09:44:22",6396417,4,2,"Strongly Agree","statements",67,"Rarely","A few times a year",33,"Female","GCSEs",4,"Remain","I think the system is working as it is ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,400,68,"Against","PRO",1,0,1,0,0,1,1
7,1651571075733,"03/05/2022 09:44:35",6396417,4,5,"Strongly Disagree","statements",70,"Rarely","Rarely",30,"Female","A levels",5,"Remain","easier trade agreements with EU","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",1,419,68,"Against","PRO",1,0,1,0,0,0,0
8,1651571078269,"03/05/2022 09:44:38",6396417,4,6,"Somewhat Disagree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",5,"Remain","The freedom of movement","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",3,413,68,"Against","PRO",1,0,1,0,0,0,0
13,1651571106322,"03/05/2022 09:45:06",6396417,4,11,"Somewhat Agree","statements",67,"Rarely","A few times a year",33,"Female","GCSEs",6,"Remain","The EU gives money back in some ways ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,402,68,"Against","PRO",1,0,1,0,0,0,1
16,1651571117067,"03/05/2022 09:45:17",6396417,4,14,"Strongly Disagree","statements",63,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",4,"Remain","cheap holidays all over europe","Agree",NA,"Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",1,376,68,"Against","PRO",1,0,1,0,0,0,0
19,1651571129784,"03/05/2022 09:45:29",6396417,4,17,"Strongly Disagree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",6,"Remain","Guarantees on trade with the EU","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",1,414,68,"Against","PRO",1,0,1,0,0,0,0
21,1651571134690,"03/05/2022 09:45:34",6396417,4,19,"Neither Agree nor Disagree","statements",65,"A few times a year","A few times a year",59,"Female","Undergraduate degree (BSc, BA)",6,"Remain","Free movement in European countries & we can be an ally for any safety.","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Anti",4,390,68,"Against","PRO",1,0,1,0,0,0,0
22,1651571141657,"03/05/2022 09:45:41",6396417,4,20,"Somewhat Agree","statements",65,"A few times a year","A few times a year",59,"Female","Undergraduate degree (BSc, BA)",5,"Remain","Jobs open to European countries to fill up vacancies here.","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Anti",5,389,68,"Against","PRO",1,0,1,0,0,0,1
23,1651571145508,"03/05/2022 09:45:45",6396417,4,21,"Strongly Agree","statements",69,"Once or twice a year","Rarely",28,"Female","Undergraduate degree (BSc, BA)",4,"Remain","More security with EU support","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Agree",NA,NA,NA,"Anti",7,412,68,"Against","PRO",1,0,1,0,0,1,1
26,1651571157066,"03/05/2022 09:45:57",6396417,4,24,"Strongly Agree","statements",66,"Never","Once or twice a year",50,"Male","Undergraduate degree (BSc, BA)",5,"Remain","Convenient for travel","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,395,68,"Against","PRO",1,0,1,0,0,1,1
27,1651571163767,"03/05/2022 09:46:03",6396417,4,25,"Disagree","statements",62,"Rarely","Most days",54,"Male","GCSEs",5,"Remain","EU would not let UK government put up the gas prices by 53 percent ","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,371,68,"Against","PRO",1,0,1,0,0,0,0
30,1651571175365,"03/05/2022 09:46:15",6396417,4,28,"Agree","statements",62,"Rarely","Most days",54,"Male","GCSEs",4,"Remain","We are far better of in the EU because of our human rights","Strongly agree",NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,370,68,"Against","PRO",1,0,1,0,0,1,1
31,1651571180559,"03/05/2022 09:46:20",6396417,4,29,"Strongly Agree","statements",61,"Never","Never",68,"Female","No formal qualifications",5,"Remain","very worried about the cost of trade and weather it would make more sence to stay how we are","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,365,68,"Against","PRO",1,0,1,0,0,1,1
32,1651571183236,"03/05/2022 09:46:23",6396417,4,30,"Somewhat Agree","statements",66,"Never","Once or twice a year",50,"Male","Undergraduate degree (BSc, BA)",6,"Remain","Stable economic trade deal","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,396,68,"Against","PRO",1,0,1,0,0,0,1
36,1651571200801,"03/05/2022 09:46:40",6396417,4,34,"Strongly Agree","statements",64,"Never","Never",48,"Female","A levels",4,"Remain","More peaceful relationship with other European countries","Somewhat Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Anti",7,382,68,"Against","PRO",1,0,1,0,0,1,1
37,1651571203513,"03/05/2022 09:46:43",6396417,4,35,"Strongly Disagree","statements",63,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",6,"Remain","Much harder to trade with Europe outside","Agree",NA,"Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",1,378,68,"Against","PRO",1,0,1,0,0,0,0
40,1651571219224,"03/05/2022 09:46:59",6396417,4,38,"Agree","statements",67,"Rarely","A few times a year",33,"Female","GCSEs",5,"Remain","The EU provides a lot of jobs ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,401,68,"Against","PRO",1,0,1,0,0,1,1
41,1651571224183,"03/05/2022 09:47:04",6396417,4,39,"Strongly Agree","statements",61,"Never","Never",68,"Female","No formal qualifications",6,"Remain","thinking about the cost of everything , it might make it harder to for us to buy things","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,366,68,"Against","PRO",1,0,1,0,0,1,1
43,1651571233886,"03/05/2022 09:47:13",6396417,4,41,"Strongly Agree","statements",70,"Rarely","Rarely",30,"Female","A levels",6,"Remain","Freedom of movement and easier travel to EU contries","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,420,68,"Against","PRO",1,0,1,0,0,1,1
